team_one_win,duration,type,team_one_barons,team_two_barons,team_one_dragons,team_two_dragons,team_one_rift_heralds,team_two_rift_heralds,team_one_first_baron,team_one_first_blood,team_one_first_dragon,team_one_first_inhibitor,team_one_first_rift_herald,team_one_first_tower,team_one_assists,team_two_assists,team_one_level,team_two_level,team_one_kills,team_two_kills,team_one_obj_damage,team_two_obj_damage,team_one_deaths,team_two_deaths,team_one_gold,team_two_gold,team_one_double_kills,team_two_double_kills,team_one_damage,team_two_damage,team_one_enemy_monsters_killed,team_two_enemy_monsters_killed,team_one_cc_time,team_two_cc_time,team_one_healing,team_two_healing,team_one_champ_damage,team_two_champ_damage,team_one_cs,team_two_cs,team_one_vision_score,team_two_vision_score,team_one_top_avg_cs_diff,team_one_jungle_avg_cs_diff,team_one_mid_avg_cs_diff,team_one_bot_avg_cs_diff,team_one_top_avg_dmg_taken_diff,team_one_jungle_avg_dmg_taken_diff,team_one_mid_avg_dmg_taken_diff,team_one_bot_avg_dmg_taken_diff,team_one_top_avg_xp_diff,team_one_jungle_avg_xp_diff,team_one_mid_avg_xp_diff,team_one_bot_avg_xp_diff,team_one_top_champ,team_one_jungle_champ,team_one_mid_champ,team_one_bot_champ,team_one_top_champ_diff,team_one_jungle_champ_diff,team_one_mid_champ_diff,team_one_bot_champ_diff,team_one_top_champ_type,team_one_jungle_champ_type,team_one_mid_champ_type,team_one_bot_champ_type,team_two_top_champ,team_two_jungle_champ,team_two_mid_champ,team_two_bot_champ,team_two_top_champ_diff,team_two_jungle_champ_diff,team_two_mid_champ_diff,team_two_bot_champ_diff,team_two_top_champ_type,team_two_jungle_champ_type,team_two_mid_champ_type,team_two_bot_champ_type
1,1214,CLASSIC,0,0,2,0,1,0,0,1,1,1,1,1,33,9,58,50,32,11,46177,3507,12,32,43207,28517,5,1,396029,228907,21,0,47,81,19220,12109,52665,32131,363,296,54,44,-0.2999999999999995,0.14999999999999994,3.85,-0.25,-309.94999999999993,-77.6,443.1,-427.25,-49.99999999999999,176.25,287.95,142.3,Jayce,Graves,Ekko,Seraphine,7,3,8,0,Fighter,Marksman,Assassin,Mage,Viego,Jax,Veigar,Janna,5,5,7,7,Assassin,Fighter,Mage,Support
0,2560,CLASSIC,2,0,3,4,1,0,1,1,0,1,1,1,93,95,89,88,56,51,96604,40636,51,56,81972,80994,5,11,867832,991927,9,15,232,288,112075,82746,196012,225298,635,659,243,234,0.9500000000000002,0.17500000000000002,1.025,-1.8000000000000005,301.55,-333.85,16.575000000000006,791.1250000000001,178.12500000000003,45.52500000000001,10.925000000000008,-55.999999999999936,Poppy,Fiddlesticks,Viego,Kaisa,6,9,5,6,Tank,Mage,Assassin,Marksman,Singed,Kayn,Talon,Aphelios,5,8,7,10,Tank,Fighter,Assassin,Marksman
0,1419,CLASSIC,0,0,0,4,1,0,0,0,0,0,1,1,2,31,55,64,7,22,17114,53041,22,7,34372,44145,0,0,329819,456464,9,17,49,85,9728,22798,34247,42375,484,532,92,120,-0.4500000000000003,0.7,1.95,-2.85,-75.25000000000003,133.60000000000002,22.30000000000004,-79.4,-20.250000000000032,-117.04999999999998,37.549999999999976,-203.75000000000009,Ornn,JarvanIV,Zed,Leona,5,5,7,4,Tank,Tank,Assassin,Tank,Gragas,Vi,Kassadin,Thresh,5,4,8,7,Fighter,Fighter,Assassin,Support
0,1659,CLASSIC,0,1,0,3,1,0,0,0,0,0,1,0,26,64,63,71,16,31,17831,52590,31,17,43112,55587,2,7,428508,567941,0,23,144,127,18857,41715,77018,73573,500,587,129,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jax,Maokai,Rumble,Jinx,5,3,10,6,Fighter,Tank,Fighter,Marksman,Sion,Kayn,,Lulu,5,8,0,5,Tank,Fighter,,Support
0,1502,CLASSIC,0,1,0,3,0,2,0,1,0,0,0,0,13,47,60,69,10,27,14478,83783,27,10,38963,51982,0,3,467080,597105,8,20,93,100,22154,31349,48586,78295,546,521,93,137,0.5500000000000003,-0.10000000000000003,1.5499999999999998,-1.3499999999999992,282.15,330.44999999999993,-70.40000000000003,272.45,-49.8,-76.49999999999999,18.099999999999994,-165.1999999999999,Illaoi,Hecarim,Orianna,Jinx,4,6,7,6,Fighter,Fighter,Mage,Marksman,Poppy,Kindred,Galio,Ezreal,6,4,5,7,Tank,Marksman,Tank,Marksman
0,2158,CLASSIC,1,0,2,3,0,0,1,1,1,0,0,0,56,58,82,86,45,43,40642,55667,43,45,71147,74203,2,5,661692,832767,4,27,142,159,50098,46862,115221,139248,631,780,223,213,0.0,-0.4,-4.425,0.0,0.0,134.10000000000002,-0.4749999999999801,0.0,0.0,-37.29999999999999,-165.1625,0.0,Rengar,Fiddlesticks,Morgana,Ezreal,8,9,1,7,Assassin,Mage,Mage,Marksman,,Khazix,Sett,Veigar,0,6,2,7,,Assassin,Fighter,Mage
0,1660,CLASSIC,0,1,2,2,1,1,0,1,1,0,1,1,31,41,66,71,22,29,36196,55551,29,22,48235,51817,2,2,486822,488002,20,9,109,76,24279,35072,70259,66597,500,555,118,140,0.0,0.55,0.0,6.4,0.0,4.950000000000075,0.0,-383.8,0.0,71.45000000000002,0.0,80.49999999999999,MonkeyKing,Viego,Senna,Ezreal,3,5,7,7,Fighter,Assassin,Marksman,Marksman,Gnar,Nidalee,Ahri,Alistar,8,8,5,7,Fighter,Assassin,Mage,Tank
0,1997,CLASSIC,0,1,2,3,1,0,0,0,0,0,1,0,48,50,75,81,38,45,52417,60242,45,38,62192,70971,4,6,703443,871492,14,25,69,79,32765,35948,83130,115799,653,669,154,153,-1.4999999999999998,0.0,0.0,1.5666666666666669,70.33333333333331,0.0,0.0,347.86666666666673,-22.2,0.0,0.0,35.89999999999998,Evelynn,Hecarim,,Ezreal,10,6,0,7,Assassin,Fighter,,Marksman,Jayce,Kayn,Viktor,Draven,7,8,9,8,Fighter,Fighter,Mage,Marksman
1,1878,CLASSIC,2,0,4,1,1,0,1,1,1,1,1,1,47,40,79,75,37,23,100950,28847,23,37,64068,55526,5,3,704486,661045,38,4,104,79,32124,52610,105876,83556,607,693,138,104,0.0,-0.26666666666666666,0.0,-1.7666666666666664,0.0,-75.6666666666667,0.0,-55.16666666666665,0.0,-22.799999999999994,0.0,79.56666666666666,Tryndamere,Vi,Vayne,Lulu,5,4,8,5,Fighter,Fighter,Marksman,Support,Yone,Elise,,Ezreal,8,9,0,7,Assassin,Mage,,Marksman
1,1973,CLASSIC,1,0,3,1,1,0,1,0,0,1,1,1,71,39,82,77,46,34,76025,18502,34,46,70040,58859,6,1,764659,617409,59,4,119,106,49984,37827,125315,105193,554,676,174,150,0.0,0.0,-2.0,1.0333333333333334,0.0,0.0,260.43333333333334,-34.86666666666658,0.0,0.0,-30.199999999999974,153.53333333333333,,Ekko,Talon,Senna,0,8,7,7,,Assassin,Assassin,Marksman,Garen,Kindred,Annie,Twitch,5,4,6,6,Fighter,Marksman,Mage,Marksman
0,1872,CLASSIC,0,0,2,3,0,2,0,0,0,0,0,0,34,59,70,78,29,43,27120,74515,43,29,56008,65190,1,4,528013,682607,11,33,285,112,34074,37839,86800,107952,542,627,126,173,0.0,0.0,-0.6333333333333332,1.1666666666666667,0.0,0.0,33.56666666666666,289.5,0.0,0.0,-81.03333333333335,-90.36666666666667,Camille,Nocturne,Kassadin,Pyke,4,4,8,7,Fighter,Assassin,Assassin,Support,,Viego,Diana,Ezreal,0,5,4,7,,Assassin,Fighter,Marksman
0,1217,CLASSIC,0,0,0,2,0,1,0,1,0,0,0,0,9,27,52,57,8,22,5902,33693,22,8,29070,39356,1,3,273817,364650,7,14,56,42,19008,24420,35893,44444,351,399,77,92,-2.25,-5.551115123125783e-17,0.0,0.0,131.64999999999998,91.8,0.0,0.0,-128.09999999999997,-34.349999999999994,0.0,0.0,Camille,MasterYi,Seraphine,Senna,4,4,0,7,Fighter,Assassin,Mage,Marksman,Darius,Udyr,Corki,Ezreal,2,7,6,7,Fighter,Fighter,Marksman,Marksman
0,1182,CLASSIC,0,0,0,2,1,1,0,0,0,0,1,0,13,26,53,56,14,22,15119,49683,22,14,31505,39476,1,1,288190,392967,16,38,64,81,12962,23057,43591,52422,437,470,63,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,
0,1365,CLASSIC,0,0,0,3,1,1,0,1,0,0,1,0,14,30,59,66,18,34,16105,57276,34,18,37826,49343,1,3,346430,521972,5,10,61,45,11144,37434,50674,70019,370,515,82,110,-2.45,-0.5499999999999999,0.0,-0.9999999999999996,-124.57499999999996,-298.85,0.0,484.4,-58.72500000000001,8.000000000000027,0.0,-213.6,Jax,Graves,,Zyra,5,3,0,7,Fighter,Marksman,,Mage,Illaoi,Fiddlesticks,,Ezreal,4,9,0,7,Fighter,Mage,,Marksman
1,1456,CLASSIC,1,0,3,0,0,1,1,1,1,1,0,0,38,6,67,60,27,16,62200,29666,16,27,50696,39733,5,0,487630,410243,12,8,64,54,25080,22333,60020,41075,546,525,127,71,0.0,0.14999999999999994,0.0,1.6,0.0,-359.4500000000001,0.0,-133.30000000000004,0.0,80.55,0.0,185.65000000000003,Teemo,Viego,Yone,Ezreal,6,5,8,7,Marksman,Assassin,Assassin,Marksman,,Kassadin,Fizz,Rell,0,8,6,0,,Assassin,Assassin,Tank
1,799,CLASSIC,0,0,0,1,0,0,0,1,0,0,0,1,17,3,45,39,21,5,11430,7521,5,21,28496,20031,2,0,214695,168416,17,16,37,42,12469,8680,30726,18756,265,234,29,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,
0,2440,CLASSIC,0,2,2,4,0,0,0,1,0,0,0,1,62,54,86,89,54,57,52278,85806,58,54,79919,85882,7,9,905050,966802,20,32,156,111,60314,59268,165313,173485,700,709,200,171,1.225,-0.125,0.0,0.0,638.6,-510.3,0.0,0.0,47.7,-68.07499999999996,0.0,0.0,Darius,Shaco,Katarina,Draven,2,9,8,8,Fighter,Assassin,Assassin,Marksman,Karma,Viego,Zed,Ezreal,5,5,7,7,Mage,Assassin,Assassin,Marksman
0,1686,CLASSIC,0,0,0,3,0,0,0,0,0,0,0,0,30,70,68,77,26,50,11906,37032,50,26,47943,62539,1,3,454599,665149,8,58,73,143,29710,40337,80604,107425,516,532,101,124,-0.55,0.15000000000000005,-0.3499999999999999,-1.6,58.4,-128.9,-52.99999999999997,85.45000000000005,-142.64999999999995,-147.09999999999997,71.35000000000002,-164.59999999999994,Kayle,Kindred,Zed,Jinx,7,4,7,6,Fighter,Marksman,Assassin,Marksman,Gnar,Lillia,Ryze,Ezreal,8,8,7,7,Fighter,Fighter,Mage,Marksman
1,1380,CLASSIC,0,0,2,0,1,0,0,1,1,0,1,1,39,15,64,57,33,13,42600,8256,13,33,47080,37560,2,2,450504,354764,17,0,72,62,22939,26976,63794,48750,433,439,114,82,-3.5,1.15,-1.1,2.6,-238.4,-25.400000000000066,-48.80000000000002,-153.84999999999997,-142.10000000000005,196.35,99.85,271.65,Ivern,Viego,Katarina,Xayah,7,5,8,5,Support,Assassin,Assassin,Marksman,Riven,Nidalee,Yasuo,Samira,8,8,10,6,Fighter,Assassin,Fighter,Marksman
0,945,CLASSIC,0,0,0,2,1,0,0,1,0,0,1,0,3,17,45,51,6,15,15897,19293,15,6,24026,28825,1,1,224875,260413,3,5,36,78,12245,11089,18661,32933,315,355,41,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,
0,2012,CLASSIC,0,1,0,4,0,2,0,1,0,0,0,0,53,33,76,80,47,46,18622,76509,46,47,69293,68378,4,3,588864,683288,5,48,144,126,35286,42433,122634,107766,487,529,172,142,0.6333333333333333,-1.1666666666666667,-1.4000000000000004,2.0333333333333337,-165.16666666666666,-307.53333333333336,-320.6,-98.26666666666678,-54.43333333333333,-88.43333333333332,-155.16666666666666,265.96666666666675,Tryndamere,Viego,Lux,Senna,5,5,5,7,Fighter,Assassin,Mage,Marksman,Fiora,Udyr,Zed,Veigar,3,7,7,7,Fighter,Fighter,Assassin,Mage
1,1474,CLASSIC,0,0,1,1,1,0,0,1,0,0,1,1,40,15,65,58,39,18,33338,12049,18,39,49222,38827,4,3,438130,388442,18,0,103,62,41511,25530,80772,74386,385,439,90,77,0.0,-0.35,0.0,1.3999999999999997,0.0,483.2,0.0,79.85000000000002,0.0,224.25,0.0,183.55,Tryndamere,Hecarim,Karma,Jhin,5,6,5,6,Fighter,Fighter,Mage,Marksman,Sylas,Ezreal,,Twitch,5,7,0,6,Mage,Marksman,,Marksman
1,1320,CLASSIC,0,0,2,1,2,0,0,1,0,1,1,1,36,21,63,60,22,14,78431,13293,14,22,43319,34489,3,1,484832,323746,16,0,40,43,28581,26366,56867,38200,494,406,86,57,3.7,0.25,-0.8499999999999999,0.6999999999999997,-161.20000000000005,-218.10000000000005,-71.75,74.15000000000009,148.45,-71.5,-59.74999999999997,64.65000000000006,Yorick,Nunu,Ziggs,Nami,6,4,4,5,Fighter,Tank,Mage,Support,Darius,Viego,Vladimir,Kaisa,2,5,7,6,Fighter,Assassin,Mage,Marksman
